Title,Type,Speakers,Track,Room,Start,URL
Embracing Change: Driving Adoption in M365 Copilot,WORKSHOP,Michelle Caldwell *; Jill Hannemann,,S103D,2026-06-15T09:00,
Communication Plans for AI-Powered Change,WORKSHOP,Michelle Caldwell *; Jill Hannemann,,S106A,2026-06-16T09:00,
Empowering Champions for M365 + Copilot Adoption,BREAKOUT,Michelle Caldwell *; Jill Hannemann,,S103A,2026-06-17T13:40,
Put Strategy To Work: Using M365 for Strategy & Planning,BREAKOUT,Chris McNulty *,,S105A,2026-06-18T12:50,
"Making M365 Reliable for AI: What to Monitor, How to Fix It",BREAKOUT,Chris McNulty *,,S102A,2026-06-19T12:30,
From To-Do to Done: Unlock the New Microsoft Planner,BREAKOUT,Shari Oswald *,,S105A,2026-06-18T09:00,
Amplifying Productivity in M365: Strategies + AI Boosts,BREAKOUT,Shari Oswald *; Christian Buckley,,S103A,2026-06-18T16:00,
