session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_24.0.61.200_1222026_8,/post/11-copilot-tips-to-supercharge-your-productivity,2026-01-22T08:00:00Z,1,Edge,desktop,Windows,Jersey City,US,NJ,organic,https://bing.com/,,,,,
wix_130.41.122.187_2182026_18,/post/claude-comes-inside-the-microsoft-365-boundary,2026-02-18T18:00:00Z,1,Edge,desktop,Windows,Atlanta,US,GA,direct,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,,,,,
wix_198.145.57.16_222026_6,/event-details/ai-im-global-summit,2026-02-02T06:00:00Z,1,Chrome,desktop,Windows,New York,US,NY,referral,,hs_email,email,,22476756,
wix_91.132.144.59_452026_0,/polaris,2026-04-05T00:00:00Z,1,Chrome,desktop,Mac OS,Nuremberg,DE,BY,direct,,,,,,25000
wix_178.46.96.234_252026_11,/,2026-02-05T11:00:00Z,1,Opera,desktop,Windows,Yekaterinburg,RU,SVE,direct,,,,,,
wix_183.204.3.162_332026_8,/services/strategic-transformation,2026-03-03T08:00:00Z,1,Chrome,desktop,Windows,,CN,,direct,,,,,,
wix_146.75.136.237_2202026_10,/,2026-02-20T10:00:00Z,1,Safari,mobile,iOS,Renton,US,WA,direct,,,,,,24000
wix_202.88.170.204_2182026_23,/,2026-02-18T23:00:00Z,1,Chrome,desktop,Windows,,IN,,direct,,,,,,
wix_107.77.205.136_5142026_16,/,2026-05-14T16:00:00Z,1,Edge,mobile,iOS,,US,WA,referral,https://aka.synozur.com/,,,,,
wix_108.31.28.232_452026_13,/post/the-wonderful-world-of-mark-kashman,2026-04-05T13:00:00Z,1,Edge,desktop,Windows,Gaithersburg,US,MD,organic,https://bing.com/,,,,,8000
wix_204.82.179.106_3112026_7,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-03-11T07:00:00Z,1,Chrome,desktop,Windows,Fredericton,CA,NB,organic,https://google.com/,,,,,
wix_unknown_1122026_3,/privacy,2026-01-12T03:00:00Z,1,Edge,desktop,Windows,Visakhapatnam,IN,AP,referral,https://darsycertification-wu2.azurewebsites.net/,,,,,23000
wix_69.77.176.174_3102026_12,/post/claude-comes-inside-the-microsoft-365-boundary,2026-03-10T12:00:00Z,1,Chrome,desktop,Windows,Toronto,CA,ON,organic,https://google.com/,,,,,
wix_50.47.248.147_4162026_4,/post/ai-in-2026-a-trillion-dollars-is-coming-who-wins,2026-04-16T04:00:00Z,1,Safari,mobile,iOS,Bothell,US,WA,direct,https://synozur.com/insights,,,,,
wix_73.69.121.238_572026_10,/privacy,2026-05-07T10:00:00Z,1,Edge,mobile,iOS,Exeter,US,NH,direct,,,,,,
wix_50.115.196.29_562026_15,/,2026-05-06T15:00:00Z,1,Chrome,desktop,Windows,Merced,US,CA,organic,https://google.com/,,,,,
wix_unknown_142026_15,/team,2026-01-04T15:00:00Z,1,Edge,desktop,Windows,Woodinville,US,WA,organic,https://bing.com/,,,,,
wix_174.45.8.191_2122026_2,/case-studies,2026-02-12T02:00:00Z,1,Edge,desktop,Windows,Bozeman,US,MT,direct,https://synozur.com/case-studies,,,,,
wix_45.84.107.76_1292026_10,/contact,2026-01-29T10:00:00Z,1,Chrome,desktop,Mac OS,,SE,,direct,,,,,,28000
wix_unknown_182026_19,/team/rob-asen,2026-01-08T19:00:00Z,1,DuckDuckGo Mobile,mobile,iOS,Cary,US,NC,direct,,,,,,
wix_104.28.40.2_492026_14,/post/claude-comes-inside-the-microsoft-365-boundary,2026-04-09T14:00:00Z,1,Safari,mobile,iOS,Antwerp,BE,VAN,direct,,,,,,20000
wix_124.170.81.59_4292026_0,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-04-29T00:00:00Z,1,Edge,desktop,Windows,Brisbane,AU,QLD,organic,https://bing.com/,,,,,
wix_47.246.164.149_4142026_4,/insights/categories/strategy-and-operations,2026-04-14T04:00:00Z,1,Sogou Explorer,desktop,Windows,,SG,,direct,,,,,,
wix_unknown_1122026_9,/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,2026-01-12T09:00:00Z,1,Edge,desktop,Windows,Islington,GB,ISL,organic,https://bing.com/,,,,,
wix_185.220.100.254_3302026_10,/insights/tags/user-experience-1,2026-03-30T10:00:00Z,1,Chrome,desktop,Mac OS,,DE,,direct,,,,,,
wix_98.109.118.72_3192026_11,/,2026-03-19T11:00:00Z,1,Chrome,desktop,Windows,Bergenfield,US,NJ,direct,,,,,,
